protein,phenotype,count,n,denominator,fraction,position_count,fraction_ci_low,fraction_ci_high,ci_method,bootstrap_seed,bootstrap_draws
CYP2C9,abundance-preserved_function-impaired,412,412,4421,0.09319158561411445,464,0.0805256534170996,0.10656703063907277,95% position-bootstrap CI,2026,2000
CYP2C9,abundance-preserved_function-preserved,282,282,4421,0.06378647364849581,464,0.05179881208450326,0.07616995877318797,95% position-bootstrap CI,2026,2000
CYP2C9,abundance-low_function-impaired,1110,1110,4421,0.2510744175525899,464,0.2285914753087537,0.273611592111517,95% position-bootstrap CI,2026,2000
CYP2C9,abundance-low_function-preserved,15,15,4421,0.0033928975344944584,464,0.001813884803978063,0.005202560668495296,95% position-bootstrap CI,2026,2000
CYP2C9,uncertain-or-other,2602,2602,4421,0.5885546256503054,464,0.5706620906637118,0.6066809855481575,95% position-bootstrap CI,2026,2000
GCK,abundance-preserved_function-impaired,460,460,8255,0.05572380375529982,463,0.045024767054849445,0.06737781280915896,95% position-bootstrap CI,2026,2000
GCK,abundance-preserved_function-preserved,45,45,8255,0.005451241671714113,463,0.003855816608617752,0.007148548777975852,95% position-bootstrap CI,2026,2000
GCK,abundance-low_function-impaired,207,207,8255,0.025075711689884917,463,0.01959090716274756,0.03128038583485362,95% position-bootstrap CI,2026,2000
GCK,abundance-low_function-preserved,3,3,8255,0.0003634161114476075,463,0.0,0.0008479734950746858,95% position-bootstrap CI,2026,2000
GCK,uncertain-or-other,7540,7540,8255,0.9133858267716536,463,0.9008000431016513,0.9254328333769977,95% position-bootstrap CI,2026,2000
PTEN,abundance-preserved_function-impaired,212,212,4839,0.04381070469105187,379,0.03378431070306975,0.055363164924962675,95% position-bootstrap CI,2026,2000
PTEN,abundance-preserved_function-preserved,1149,1149,4839,0.23744575325480471,379,0.21576831439446767,0.26086206828006764,95% position-bootstrap CI,2026,2000
PTEN,abundance-low_function-impaired,602,602,4839,0.12440586898119446,379,0.1018147997722739,0.146854657687991,95% position-bootstrap CI,2026,2000
PTEN,abundance-low_function-preserved,490,490,4839,0.1012605910312048,379,0.08658444390752562,0.1173070173301284,95% position-bootstrap CI,2026,2000
PTEN,uncertain-or-other,2386,2386,4839,0.49307708204174416,379,0.4723555292933132,0.5140129814721887,95% position-bootstrap CI,2026,2000
VKORC1,abundance-preserved_function-impaired,4,4,692,0.005780346820809248,151,0.001379310344827586,0.011528210424613944,95% position-bootstrap CI,2026,2000
VKORC1,abundance-preserved_function-preserved,178,178,692,0.25722543352601157,151,0.21531206607033293,0.30358787273435967,95% position-bootstrap CI,2026,2000
VKORC1,abundance-low_function-impaired,12,12,692,0.017341040462427744,151,0.007692012288786482,0.02837095658190623,95% position-bootstrap CI,2026,2000
VKORC1,abundance-low_function-preserved,183,183,692,0.26445086705202314,151,0.21770210714777577,0.31364552730526035,95% position-bootstrap CI,2026,2000
VKORC1,uncertain-or-other,315,315,692,0.4552023121387283,151,0.412036697621375,0.5,95% position-bootstrap CI,2026,2000
