protein,model,n_variants,n_positives,n_negatives,positives,negatives,prevalence,ap,ap_prevalence,ap_lift,auroc,valid,ap_ci_low,ap_ci_high,bootstrap_draws,bootstrap_invalid_fraction,bootstrap_unstable,ci_interpretation,evaluation,n_proteins,mean_per_protein_ap_lift,setting,n_positions
CYP2C9,ESM1v_single_impairment,694.0,412.0,282.0,412.0,282.0,0.5936599423631124,0.7942799265148284,1.337937546119638,1.337937546119638,0.7513513048268264,True,0.7101772821824017,0.8648570211313366,2000.0,0.0,False,measured residue positions only,direct zero-shot; not OOF,,,direct_zero_shot,262
CYP2C9,ESM2_650M_impairment,694.0,412.0,282.0,412.0,282.0,0.5936599423631124,0.837551023491324,1.4108262385994634,1.4108262385994634,0.7998175308131928,True,0.768775916761434,0.8932150903295653,2000.0,0.0,False,measured residue positions only,direct zero-shot; not OOF,,,direct_zero_shot,262
PTEN,ESM1v_single_impairment,1361.0,212.0,1149.0,212.0,1149.0,0.15576781778104334,0.5426835991418608,3.483926313358833,3.483926313358833,0.7993291951984498,True,0.427682554657987,0.6403825755118957,2000.0,0.0,False,measured residue positions only,direct zero-shot; not OOF,,,direct_zero_shot,288
PTEN,ESM2_650M_impairment,1361.0,212.0,1149.0,212.0,1149.0,0.15576781778104334,0.5587357517342945,3.5869781042942206,3.5869781042942206,0.8183982790613659,True,0.4383394931080144,0.6542956642742198,2000.0,0.0,False,measured residue positions only,direct zero-shot; not OOF,,,direct_zero_shot,288
CYP2C9,B0,694.0,412.0,282.0,412.0,282.0,0.5936599423631124,0.5574925667222265,0.9390772847214204,0.9390772847214204,0.439122426495903,True,,,,,,,outer grouped-position CV; nested grouped-position inner selection,,,within_protein_nested_grouped_cv,262
CYP2C9,B1,694.0,412.0,282.0,412.0,282.0,0.5936599423631124,0.6386300812320904,1.0757506708132785,1.0757506708132785,0.5505878606348551,True,,,,,,,outer grouped-position CV; nested grouped-position inner selection,,,within_protein_nested_grouped_cv,262
CYP2C9,B2,694.0,412.0,282.0,412.0,282.0,0.5936599423631124,0.7850711894479646,1.322425741448756,1.322425741448756,0.7387764236039386,True,,,,,,,outer grouped-position CV; nested grouped-position inner selection,,,within_protein_nested_grouped_cv,262
PTEN,B0,1361.0,212.0,1149.0,212.0,1149.0,0.15576781778104334,0.1325785501416147,0.851129277088385,0.851129277088385,0.4186064173933034,True,,,,,,,outer grouped-position CV; nested grouped-position inner selection,,,within_protein_nested_grouped_cv,288
PTEN,B1,1361.0,212.0,1149.0,212.0,1149.0,0.15576781778104334,0.21502800427900284,1.3804392161496362,1.3804392161496362,0.5896123782780761,True,,,,,,,outer grouped-position CV; nested grouped-position inner selection,,,within_protein_nested_grouped_cv,288
PTEN,B2,1361.0,212.0,1149.0,212.0,1149.0,0.15576781778104334,0.49763893374799656,3.194748060523695,3.194748060523695,0.7852316206052843,True,,,,,,,outer grouped-position CV; nested grouped-position inner selection,,,within_protein_nested_grouped_cv,288
CYP2C9,B0,694.0,412.0,282.0,412.0,282.0,0.5936599423631124,0.5936599423631124,1.0,1.0,0.5,True,,,,,,,leave-one-protein-out; two PASS proteins only; inner grouped-position CV within training protein,,,leave_one_protein_out,262
CYP2C9,B1,694.0,412.0,282.0,412.0,282.0,0.5936599423631124,0.6452244483732912,1.0868586581821944,1.0868586581821944,0.5337567995593197,True,,,,,,,leave-one-protein-out; two PASS proteins only; inner grouped-position CV within training protein,,,leave_one_protein_out,262
CYP2C9,B2,694.0,412.0,282.0,412.0,282.0,0.5936599423631124,0.7942799265148284,1.337937546119638,1.337937546119638,0.7513513048268264,True,,,,,,,leave-one-protein-out; two PASS proteins only; inner grouped-position CV within training protein,,,leave_one_protein_out,262
PTEN,B0,1361.0,212.0,1149.0,212.0,1149.0,0.15576781778104334,0.15576781778104334,1.0,1.0,0.5,True,,,,,,,leave-one-protein-out; two PASS proteins only; inner grouped-position CV within training protein,,,leave_one_protein_out,288
PTEN,B1,1361.0,212.0,1149.0,212.0,1149.0,0.15576781778104334,0.19703044836652406,1.2648983029567888,1.2648983029567888,0.5484547678867596,True,,,,,,,leave-one-protein-out; two PASS proteins only; inner grouped-position CV within training protein,,,leave_one_protein_out,288
PTEN,B2,1361.0,212.0,1149.0,212.0,1149.0,0.15576781778104334,0.5426835991418608,3.483926313358833,3.483926313358833,0.7993291951984498,True,,,,,,,leave-one-protein-out; two PASS proteins only; inner grouped-position CV within training protein,,,leave_one_protein_out,288
