setting,protein,feature_set,n_variants,n_positives,n_negatives,positives,negatives,prevalence,ap,ap_prevalence,ap_lift,auroc,valid
within-protein,CYP2C9,B2,694.0,412.0,282.0,412.0,282.0,0.5936599423631124,0.7850711894479646,1.322425741448756,1.322425741448756,0.7387764236039386,True
within-protein,PTEN,B2,1361.0,212.0,1149.0,212.0,1149.0,0.15576781778104334,0.49763893374799656,3.194748060523695,3.194748060523695,0.7852316206052843,True
held-out protein,CYP2C9,B2,694.0,412.0,282.0,412.0,282.0,0.5936599423631124,0.7942799265148284,1.337937546119638,1.337937546119638,0.7513513048268264,True
held-out protein,PTEN,B2,1361.0,212.0,1149.0,212.0,1149.0,0.15576781778104334,0.5426835991418608,3.483926313358833,3.483926313358833,0.7993291951984498,True
within-protein,CYP2C9,B3,694.0,412.0,282.0,412.0,282.0,0.5936599423631124,0.6874385505545213,1.1579668788466937,1.1579668788466937,0.6484670866900778,True
within-protein,CYP2C9,B4,694.0,412.0,282.0,412.0,282.0,0.5936599423631124,0.6970426383755158,1.1741446384286602,1.1741446384286602,0.6613389106933829,True
within-protein,PTEN,B3,1361.0,212.0,1149.0,212.0,1149.0,0.15576781778104334,0.45268584456824645,2.906157709704639,2.906157709704639,0.7188038819646289,True
within-protein,PTEN,B4,1361.0,212.0,1149.0,212.0,1149.0,0.15576781778104334,0.47738097424068976,3.0646957827432963,3.0646957827432963,0.7362390593953725,True
held-out protein,CYP2C9,B3,694.0,412.0,282.0,412.0,282.0,0.5936599423631124,0.7197286035214745,1.2123583758347167,1.2123583758347167,0.643061867382772,True
held-out protein,CYP2C9,B4,694.0,412.0,282.0,412.0,282.0,0.5936599423631124,0.791877889558927,1.3338913964900374,1.3338913964900374,0.7424516284514219,True
held-out protein,PTEN,B3,1361.0,212.0,1149.0,212.0,1149.0,0.15576781778104334,0.46972584847963583,3.015551319720681,3.015551319720681,0.7434500057474096,True
held-out protein,PTEN,B4,1361.0,212.0,1149.0,212.0,1149.0,0.15576781778104334,0.5499449268751517,3.5305426673447244,3.5305426673447244,0.7806952723451073,True
