setting,protein,model,n_variants,n_positions,prevalence,ap,ap_ci_low,ap_ci_high,invalid_fraction,seed,n_boot,ci_interpretation
within-protein,CYP2C9,B2,694,262,0.5936599423631124,0.7850711894479646,0.7080589581656951,0.8597647218388139,0.0,2026,2000,measured residue positions only
within-protein,CYP2C9,B3,694,262,0.5936599423631124,0.6874385505545213,0.6223903971751267,0.766181558199515,0.0,2026,2000,measured residue positions only
within-protein,CYP2C9,B4,694,262,0.5936599423631124,0.6970426383755158,0.6316271632157692,0.7799224713367886,0.0,2026,2000,measured residue positions only
within-protein,PTEN,B2,1361,288,0.15576781778104334,0.49763893374799656,0.37807381943036666,0.6071301889980718,0.0,2026,2000,measured residue positions only
within-protein,PTEN,B3,1361,288,0.15576781778104334,0.45268584456824645,0.322128072404226,0.5686033323469971,0.0,2026,2000,measured residue positions only
within-protein,PTEN,B4,1361,288,0.15576781778104334,0.47738097424068976,0.3521093306478951,0.596859031939811,0.0,2026,2000,measured residue positions only
within-protein,CYP2C9,B3-B2,694,262,,-0.09684074814495518,-0.17771161360178803,-0.014511571572633258,0.0,2026,2000,paired measured-position bootstrap contrast
within-protein,PTEN,B3-B2,1361,288,,-0.04702777377811389,-0.14325622984351383,0.050257659277880055,0.0,2026,2000,paired measured-position bootstrap contrast
within-protein,CYP2C9,B4-B2,694,262,,-0.08678827651790105,-0.16272524351396425,-0.011728200796578917,0.0,2026,2000,paired measured-position bootstrap contrast
within-protein,PTEN,B4-B2,1361,288,,-0.020925080961675308,-0.11572997475470462,0.07097555998524709,0.0,2026,2000,paired measured-position bootstrap contrast
within-protein,CYP2C9,B4-B3,694,262,,0.01005247162705412,-0.01475617207174287,0.03554626416225527,0.0,2026,2000,paired measured-position bootstrap contrast
within-protein,PTEN,B4-B3,1361,288,,0.026102692816438584,0.005001330083569998,0.04888712678492823,0.0,2026,2000,paired measured-position bootstrap contrast
held-out protein,CYP2C9,B2,694,262,0.5936599423631124,0.7942799265148284,0.7193750122057272,0.8656091650488459,0.0,2026,2000,measured residue positions only
held-out protein,CYP2C9,B3,694,262,0.5936599423631124,0.7197286035214745,0.6528009534916823,0.7852629891274566,0.0,2026,2000,measured residue positions only
held-out protein,CYP2C9,B4,694,262,0.5936599423631124,0.791877889558927,0.7262477645215326,0.8525099869812848,0.0,2026,2000,measured residue positions only
held-out protein,PTEN,B2,1361,288,0.15576781778104334,0.5426835991418608,0.4230494874680181,0.6438137553376565,0.0,2026,2000,measured residue positions only
held-out protein,PTEN,B3,1361,288,0.15576781778104334,0.46972584847963583,0.35079999002859996,0.5857197943003923,0.0,2026,2000,measured residue positions only
held-out protein,PTEN,B4,1361,288,0.15576781778104334,0.5499449268751517,0.42598325085364125,0.6572731849043476,0.0,2026,2000,measured residue positions only
held-out protein,CYP2C9,B3-B2,694,262,,-0.07744590028524687,-0.14423239647986857,-0.008947914420202676,0.0,2026,2000,paired measured-position bootstrap contrast
held-out protein,PTEN,B3-B2,1361,288,,-0.0718273023993803,-0.155095165207405,0.012517662585299608,0.0,2026,2000,paired measured-position bootstrap contrast
held-out protein,CYP2C9,B4-B2,694,262,,-0.00438448926421855,-0.035645447805388586,0.025207834438653445,0.0,2026,2000,paired measured-position bootstrap contrast
held-out protein,PTEN,B4-B2,1361,288,,0.006846628451530098,-0.040897190166749114,0.05023311411347278,0.0,2026,2000,paired measured-position bootstrap contrast
held-out protein,CYP2C9,B4-B3,694,262,,0.07306141102102834,0.029445162355372964,0.11621636933653881,0.0,2026,2000,paired measured-position bootstrap contrast
held-out protein,PTEN,B4-B3,1361,288,,0.07867393085091041,0.017787664340481662,0.13994123876523454,0.0,2026,2000,paired measured-position bootstrap contrast
