control,protein,setting,model,stratum,n_variants,n_positions,positives,negatives,common_ids,available_ids,metric,effect,ci_low,ci_high,source_sha256,hash_validated,status,reason,evidence
function_score_source,CYP2C9,direct,ESM1v_single,primary,694,262,412,282,694.0,694.0,0.7942799265148284,0.0,,,3be0cc1eec7ef6b3da5da9289c22e1170758eaeaa773692741b554b83888be4b,True,PASS,"primary versus frozen function-file score AP delta=+0.000000; common IDs=694, primary IDs=694; source hash validated before use",results/metadata/task5_function_score_sensitivity.csv
function_score_source,PTEN,direct,ESM1v_single,primary,1361,288,212,1149,1361.0,1361.0,0.5426835991418608,0.0,,,3be0cc1eec7ef6b3da5da9289c22e1170758eaeaa773692741b554b83888be4b,True,PASS,"primary versus frozen function-file score AP delta=+0.000000; common IDs=1361, primary IDs=1361; source hash validated before use",results/metadata/task5_function_score_sensitivity.csv
function_score_source,CYP2C9,direct,ESM2_650M,primary,694,262,412,282,694.0,694.0,0.837551023491324,0.0,,,3be0cc1eec7ef6b3da5da9289c22e1170758eaeaa773692741b554b83888be4b,True,PASS,"primary versus frozen function-file score AP delta=+0.000000; common IDs=694, primary IDs=694; source hash validated before use",results/metadata/task5_function_score_sensitivity.csv
function_score_source,PTEN,direct,ESM2_650M,primary,1361,288,212,1149,1361.0,1361.0,0.5587357517342945,0.0,,,3be0cc1eec7ef6b3da5da9289c22e1170758eaeaa773692741b554b83888be4b,True,PASS,"primary versus frozen function-file score AP delta=+0.000000; common IDs=1361, primary IDs=1361; source hash validated before use",results/metadata/task5_function_score_sensitivity.csv
label_confidence,CYP2C9,descriptive,function_uncertainty_kind,primary,694,262,412,282,,,,,,,,,NOT_APPLICABLE,function_uncertainty_kind has {'missing': 694}; no within-protein confidence-regime comparison is available,results/metadata/task2_counts.csv
label_confidence,CYP2C9,descriptive,abundance_uncertainty_kind,primary,694,262,412,282,,,,,,,,,NOT_APPLICABLE,abundance_uncertainty_kind has {'missing': 694}; no within-protein confidence-regime comparison is available,results/metadata/task2_counts.csv
model_coverage,CYP2C9,direct,ESM1v_single,primary,694,262,412,282,694.0,694.0,0.7942799265148284,0.0,,,,,PASS,common IDs=694; available-case IDs=694; coverage=100.000%; AP delta=0.000000,results/metadata/score_coverage.csv
model_coverage,CYP2C9,direct,ESM2_650M,primary,694,262,412,282,694.0,694.0,0.837551023491324,0.0,,,,,PASS,common IDs=694; available-case IDs=694; coverage=100.000%; AP delta=0.000000,results/metadata/score_coverage.csv
label_confidence,PTEN,descriptive,function_uncertainty_kind,primary,1361,288,212,1149,,,,,,,,,NOT_APPLICABLE,function_uncertainty_kind has {'point-estimate high-confidence author score': 1361}; no within-protein confidence-regime comparison is available,results/metadata/task2_counts.csv
label_confidence,PTEN,descriptive,abundance_uncertainty_kind,primary,1361,288,212,1149,,,,,,,,,NOT_APPLICABLE,abundance_uncertainty_kind has {'point-estimate author category': 1361}; no within-protein confidence-regime comparison is available,results/metadata/task2_counts.csv
model_coverage,PTEN,direct,ESM1v_single,primary,1361,288,212,1149,1361.0,1361.0,0.5426835991418608,0.0,,,,,PASS,common IDs=1361; available-case IDs=1361; coverage=100.000%; AP delta=0.000000,results/metadata/score_coverage.csv
model_coverage,PTEN,direct,ESM2_650M,primary,1361,288,212,1149,1361.0,1361.0,0.5587357517342945,0.0,,,,,PASS,common IDs=1361; available-case IDs=1361; coverage=100.000%; AP delta=0.000000,results/metadata/score_coverage.csv
structure_missingness,CYP2C9,within,B3,primary,637,238,405,232,637.0,694.0,0.6891038234561926,0.0016652729016712886,,,,,PASS,"complete-case retraining on same frozen folds; n_complete=637, n_imputed=694, AP delta=+0.001665",D:\protein_assay_work\release_artifacts\task5_complete_case_oof_predictions.csv
structure_missingness,CYP2C9,within,B4,primary,637,238,405,232,637.0,694.0,0.6925060126485103,-0.004536625727005528,,,,,PASS,"complete-case retraining on same frozen folds; n_complete=637, n_imputed=694, AP delta=-0.004537",D:\protein_assay_work\release_artifacts\task5_complete_case_oof_predictions.csv
structure_missingness,PTEN,within,B3,primary,839,205,173,666,839.0,1361.0,0.49244126949001776,0.03975542492177131,,,,,PASS,"complete-case retraining on same frozen folds; n_complete=839, n_imputed=1361, AP delta=+0.039755",D:\protein_assay_work\release_artifacts\task5_complete_case_oof_predictions.csv
structure_missingness,PTEN,within,B4,primary,839,205,173,666,839.0,1361.0,0.5302243385515435,0.052843364310853735,,,,,PASS,"complete-case retraining on same frozen folds; n_complete=839, n_imputed=1361, AP delta=+0.052843",D:\protein_assay_work\release_artifacts\task5_complete_case_oof_predictions.csv
